Product Name,Quantity,Avg. SP,Curr. SP,Retail Value,Ratio,Department
AIRTRICITY PREPAY 10. 1,28.00,10.00,10.00,280.00,0.07 %,Bill Pay
AIRTRICITY PREPAY 100. 1,1.00,100.00,100.00,100.00,0.02 %,Bill Pay
AIRTRICITY PREPAY 20. 1,20.00,20.00,20.00,400.00,0.09 %,Bill Pay
AIRTRICITY PREPAY 30. 1,2.00,30.00,30.00,60.00,0.01 %,Bill Pay
AIRTRICITY PREPAY 50. 1,1.00,50.00,50.00,50.00,0.01 %,Bill Pay
BORD GAIS ELECTRIC 10. 1,22.00,10.00,10.00,220.00,0.05 %,Bill Pay
BORD GAIS ELECTRIC 15. 1,3.00,15.00,15.00,45.00,0.01 %,Bill Pay
BORD GAIS ELECTRIC 20. 1,24.00,20.00,20.00,480.00,0.11 %,Bill Pay
BORD GAIS ELECTRIC 25. 1,7.00,25.00,25.00,175.00,0.04 %,Bill Pay
BORD GAIS ELECTRIC 30. 1,4.00,30.00,30.00,120.00,0.03 %,Bill Pay
BORD GAIS ELECTRIC 40. 1,2.00,40.00,40.00,80.00,0.02 %,Bill Pay
BORD GAIS ELECTRIC 50. 1,1.00,50.00,50.00,50.00,0.01 %,Bill Pay
ELECTRIC IRELAND 10. 1,47.00,10.00,10.00,470.00,0.11 %,Bill Pay
ELECTRIC IRELAND 100. 1,1.00,100.00,100.00,100.00,0.02 %,Bill Pay
ELECTRIC IRELAND 15. 1,9.00,15.00,15.00,135.00,0.03 %,Bill Pay
ELECTRIC IRELAND 20. 1,40.00,20.00,20.00,800.00,0.19 %,Bill Pay
ELECTRIC IRELAND 25. 1,7.00,25.00,25.00,175.00,0.04 %,Bill Pay
ELECTRIC IRELAND 30. 1,14.00,30.00,30.00,420.00,0.10 %,Bill Pay
ELECTRIC IRELAND 40. 1,5.00,40.00,40.00,200.00,0.05 %,Bill Pay
ELECTRIC IRELAND 45. 1,1.00,45.00,45.00,45.00,0.01 %,Bill Pay
ELECTRIC IRELAND 500. 1,3.00,50.00,50.00,150.00,0.04 %,Bill Pay
ELECTRIC IRELAND 80. 1,1.00,80.00,80.00,80.00,0.02 %,Bill Pay
PAYSAFE CARD 10. 1,5.00,10.00,10.00,50.00,0.01 %,Bill Pay
PAYSAFE CARD 25. 1,14.00,25.00,25.00,350.00,0.08 %,Bill Pay
PAYSAFE CARD 50. 1,3.00,50.00,50.00,150.00,0.04 %,Bill Pay
PINENERGY PREPAID 10. 1,15.00,10.00,10.00,150.00,0.04 %,Bill Pay
PINENERGY PREPAID 15. 1,4.00,15.00,15.00,60.00,0.01 %,Bill Pay
PINENERGY PREPAID 20. 1,10.00,20.00,20.00,200.00,0.05 %,Bill Pay
PREPAY POWER .15. 1,13.00,15.00,15.00,195.00,0.05 %,Bill Pay
PREPAY POWER 10. 1,51.00,10.00,10.00,510.00,0.12 %,Bill Pay
PREPAY POWER 100. 1,1.00,100.00,100.00,100.00,0.02 %,Bill Pay
PPPOWER201PREPAY POWER 20. 1,55.00,20.00,20.00,1100.00,0.26%,Bill Pay
PPPOWER201PREPAY POWER 25. 1,8.00,25.00,25.00,200.00,0.05%,Bill Pay
PPPOWER201PREPAY POWER 30. 1,15.00,30.00,30.00,450.00,0.11%,Bill Pay
PPPOWER201PREPAY POWER 40. 1,3.00,40.00,40.00,120.00,0.03%,Bill Pay
PPPOWER201PREPAY POWER 50. 1,5.00,50.00,50.00,250.00,0.06%,Bill Pay
PPPOWER201PREPAY POWER. 1,1.00,5.00,5.00,5.00,0.00%,Bill Pay
LEAP 1 DAY FAM RAMB DUB. 1,3.00,14.70,14.70,44.10,0.01%,Bus Tickets
LEAP5. 1,88.00,5.00,5.00,440.00,0.10%,Bus Tickets
LEAPC10. 1,92.00,10.00,10.00,920.00,0.22%,Bus Tickets
LEAPC15. 1,3.00,15.00,15.00,45.00,0.01%,Bus Tickets
LEAPC20. 1,43.00,20.00,20.00,860.00,0.20%,Bus Tickets
LEAPC30. 1,6.00,30.00,30.00,180.00,0.04%,Bus Tickets
LEAPC40. 1,2.00,40.00,40.00,80.00,0.02%,Bus Tickets
R/Z(401-410)CHILD MONTH. 1,1.00,33.00,32.10,33.00,0.01%,Bus Tickets
3 TOP UP 10 UNIT. 1,12.00,10.50,10.50,126.00,0.03%,Call Cards
3 TOP UP 20 UNIT 1,72.00,20.00,20.00,1440.00,0.34%,Call Cards
3 TOP UP 25 UNIT. 1,1.00,25.00,25.00,25.00,0.01%,Call Cards
